order_id,payment_type,payment_installments,payment_value
Axfy13Hk4PIk,credit_card,1,259.14
v6px92oS8cLG,credit_card,8,382.39
Ulpf9skrhjfm,credit_card,4,249.25
bwJVWupf2keN,credit_card,2,27.79
Dd0QnrMk9Cj5,credit_card,1,76.15
VjTVGzqe8U6R,credit_card,4,1014.75
xNba906m4TM1,credit_card,1,123.79
VEDSMTavbQwk,credit_card,5,146.51
DzNM8wrcMGFH,wallet,1,1521.75
NpJz7zF9U1ae,credit_card,6,87.3
mHyhzcUeLGj2,credit_card,2,947.72
StM5K4TLyrt5,credit_card,1,60.56
Q97dFuo1kaq9,credit_card,10,110.32
07j6mlMhSVtx,credit_card,3,818.35
kxa1InBj9gwP,credit_card,1,254.94
P5R6jr1qZdh4,credit_card,10,98.42
HqV5f8K2UYoA,credit_card,3,281.52
j5rwgECNf14O,credit_card,2,182.83
43It0OEHVyJe,credit_card,1,38.35
ddXx4T93MeaI,credit_card,2,107.01
NXDsEGbl1pUC,credit_card,8,376.61
MhDudBaAab78,wallet,1,298.17
XupzjrovQeez,wallet,1,163.1
YTztQOHlvuBg,voucher,1,120.04
xfXLgLbCo5BC,credit_card,1,166.71
gVMP1bPDg69L,wallet,1,97.19
9G9EHbafs7NW,credit_card,1,966.48
INolFarYfmEO,credit_card,3,50.88
LV0vJIDricq1,wallet,1,27.16
VtQvdStc00Xd,wallet,1,113.84
tOTdnjpI8Udp,credit_card,6,283.61
ebR5efLCCpiq,credit_card,1,242.59
YOKYMSjKRCMN,credit_card,8,580.07
57XZHymoJ10l,credit_card,1,38.51
yUz40ih0jYGt,credit_card,1,212.78
IeZYtitws7WU,credit_card,2,279.54
ZPkh9QhjG7SK,wallet,1,211.11
KJL5uJuZzKxr,wallet,1,192.92
SelY2hgVvruM,wallet,1,416.64
0QqNX4xLriht,voucher,1,1843.85
HNXQI2lmI4AR,wallet,1,247.64
C21fWds5zL0W,credit_card,7,107.82
00NEIdaOTIgn,voucher,1,137.01
XprtHqpLEddw,credit_card,3,358.53
ph9ImXx6aMjl,voucher,1,98.89
x0fzGpICAZ0w,credit_card,3,29.22
YUX432Je58GK,credit_card,1,203.99
C3u0OwYQ8nuP,credit_card,1,203.19
UaZKqhLFwRZP,credit_card,3,167.37
QOaNjVewOOTX,credit_card,1,44.82
lo8oje94TYb7,wallet,1,231.27
O5bLel2qV1yT,debit_card,1,27.71
3ffaVBUrnCxy,wallet,1,250.26
8g4jF6hPD6tG,credit_card,1,395.46
IBT786JmVIAa,credit_card,10,5.28
Rd6Tke4v8afv,credit_card,1,97.89
NnoGZNF5rNkD,wallet,1,573.56
gZMKyNzWXvcQ,voucher,1,457.86
qcDbJ8F0FIjM,credit_card,10,90.11
hyJjgFRI44lc,wallet,1,112.49
EfyYNfniuxQP,credit_card,3,29.68
0MQGlO2eQrNG,credit_card,1,228.29
zb8Qfa2K9ynp,wallet,1,244.85
LLWFihCYlP6a,credit_card,6,63.38
PBvPGqQxwFDV,credit_card,9,386.32
OQHE8Ve7n811,credit_card,4,273.32
Vtkwb0b4JxKg,wallet,1,712.65
4qLswBjaDZnT,wallet,1,47.48
XXzZNogGt47r,credit_card,6,234.19
Pp9bMvTIgPDs,credit_card,8,61.34
zh6skhlWLDTv,credit_card,6,913.13
z9Zr742C0ASe,credit_card,1,214.88
AayA35wXEdbB,credit_card,3,112.87
kuyUMcYHFGqn,credit_card,3,133.3
efc3TQanhsCE,credit_card,1,52.37
vFUriN4pz2Bi,credit_card,6,269.12
1CVQ66HlMRUR,wallet,1,419.44
jJgDALmwe6f6,wallet,1,31.6
n8p0M8Vco4SQ,credit_card,9,1.14
pNSYSUcXxkhB,credit_card,2,178.38
9AWAHq3HWS6u,credit_card,10,208.59
DlmtCXqKjfWj,wallet,1,261.95
KqH0sXMHdItQ,credit_card,1,17.22
OiIetUyiPLHG,credit_card,1,115.82
1pgvtCG93rNg,credit_card,10,213.19
qJHIiWyTAizV,credit_card,3,127.37
vSug5AqRo9gE,wallet,1,310.2
cuAQQZUhTEwb,credit_card,10,278.41
yYk586LcCRYw,credit_card,2,173.29
2HQ26ShSPhCA,voucher,1,81.16
iWJeaLiduq7C,voucher,1,353.45
1vz8w7BjKsWC,credit_card,1,38.76
h8KEpd8n4gLL,credit_card,3,972.48
PC71lF6z451l,wallet,1,41.98
TySAT9hqufKc,credit_card,4,0.48
